[00:00:00-00:00:01] 作品26号
[00:00:03-00:00:06] 我们家的后员有半母空地
[00:00:07-00:00:10] 母亲说,让他荒着怪可惜的
[00:00:11-00:00:15] 你们那么爱吃花生,就开闭出来种花生吧
[00:00:17-00:00:19] 我们姐弟几个都很高兴
[00:00:20-00:00:23] 买种,翻地,剥种,焦水
[00:00:25-00:00:27] 没过几个月,居然收获了
[00:00:28-00:00:32] 母亲说,今晚我们过一个收获结
[00:00:33-00:00:38] 请你们父亲也来尝尝我们的新花生,好不好?
[00:00:39-00:00:45] 我们都说好,母亲把花生做成了好几样食品
[00:00:46-00:00:49] 还吩咐就在后员的毛庭里过这个结
[00:00:52-00:00:53] 晚上天色不太好
[00:00:54-00:00:57] 可是父亲也来了,实在很难得
[00:00:59-00:01:02] 父亲说,你们爱吃花生吗?
[00:01:04-00:01:09] 我们真的答应爱,谁能把花生的好处说出来?
[00:01:10-00:01:13] 姐姐说,花生的味美
[00:01:15-00:01:17] 哥哥说,花生可以炸油
[00:01:19-00:01:25] 我说,花生的价钱便宜,谁都可以买来吃,都喜欢吃
[00:01:26-00:01:27] 这就是他的好处
[00:01:29-00:01:35] 父亲说,花生的好处很多,有一样最可贵
[00:01:36-00:01:42] 他的果实买在地里,不像桃子,十六苹果那样
[00:01:43-00:01:47] 把鲜红嫩绿的果实,高高的挂在枝头上
[00:01:48-00:01:50] 使人一见就生爱母之心
[00:01:51-00:01:55] 你们看他爱爱的长在地上,等到成熟了
[00:01:56-00:01:59] 也不能立和分辨出来,他有没有果实
[00:02:00-00:02:02] 必须挖出来才知道
[00:02:03-00:02:06] 我们都说是,母亲也点点头
[00:02:08-00:02:12] 父亲接下去说,所以你们要想花生
[00:02:13-00:02:16] 他虽然不好看,可是很有用
[00:02:17-00:02:20] 不是外表好看,而没有实用的东西
[00:02:22-00:02:25] 我说,那么人要做有用的人
[00:02:26-00:02:30] 不要做直接体面,而对别人没有好处的人了
[00:02:32-00:02:36] 父亲说,对,这是我对你们的希望
[00:02:39-00:02:40] 我们谈到夜深彩散
[00:02:42-00:02:44] 花生做的食品都吃完了
[00:02:45-00:02:49] 父亲的话,却深深地映在我的心上
